=== TABLE 1: Code Categories by First Digit ===
Primer dígito | Agrupación Tipo o serie a la cual pertenece el mensaje.
0 | Avisos
1 | Inicio del proceso
2 | Aceptaciones
3 | Intercambios de información
4 | Rehúses
5 | Bajas
6 | Interlocución
7 | Arbitraje / Información Penalizaciones
8 | Documentos en el formato original enviado
9 | Compensación

=== TABLE 0: Full Sequence Table (46 rows) ===
R0: Versión | Fecha | Modificaciones sobre versión anterior
422 | Rechaza parte, transcurrido plazo 72 h. (Traumatismo menor CV) | EA | CH
423 | Rechaza parte, lesionado no viaja en espacio destinado a personas | EA | CH
442 | Rechaza factura, transcurrido plazo 72 h. (Traumatismo menor CV) | EA | CH
443 | Rechaza factura, Lesionado no en espacio destinado a personas | EA | CH
471 | Rechazo del parte de asistencia. | EA | CH
472 | Parte de asistencia no cumplimentado correctamente. | EA | CH
473 | No hay acuerdo con el contenido del parte de asistencia. | EA | CH
474 | Rechaza el parte por no asegurar al vehículo. | EA | CH
475 | No corresponde el pago (estipulación de Convenio). | EA | CH
476 | Rechaza parte, no corresponde pago entidad no adherida | EA | CH
477 | Rechaza parte, conductor sin cobertura | EA | CH
478 | Rechaza por existir seguro | CCS | CH
481 | Rechaza factura. | EA | CH
481 | Rechaza factura: asistencia posterior a comunicación no aceptación (Descripción que aplica al conven | EA | CH
482 | Rechaza factura por no asegurar el vehículo | EA | CH
483 | Rechaza factura por no aplicar convenio | EA | CH
484 | Rechaza factura por existir seguro | CCS | CH
485 | Rechaza factura, no corresponde pago entidad no adherida | EA | CH
486 | Rechazo factura, transcurso de los plazos previstos en el Convenio | EA | CH
487 | Rechaza Factura, conductor sin cobertura | EA | CH
487 | Rechaza factura: discrepancia o desproporción entre diagnóstico y el tratamiento. (Descripción que a | EA | CH
488 | Rechaza factura, prestación no autorizada | EA | CH
492 | No se trata de un hecho de la circulación. | EA | CH
494 | Transcurso de los plazos previstos en el Convenio. | EA | CH
495 | Existencia probada de fraude. | EA | CH
496 | Falta de relación causal, criterio cronológico. | EA | CH
497 | Falta de relación causal, criterio de intensidad. | EA | CH
498 | Falta de relación causal, criterio topográfico. | EA | CH
499 | Falta de relación causal, criterio de exclusión. | EA | CH
500 | Abandona gestión expediente | CH | EA
501 | Baja de expediente con pago | CH | EA
502 | Baja del expediente | CS | EA/CH
503 | Acepta rechazo de parte | CS | EA
504 | Baja expediente no convenio. | CH | EA
570 | Abandona gestión de factura. | CS | EA
572 | Subcomisión No procede parte | CS | EA/CH
573 | Comisión resuelve: No procede factura | CS | EA/CH
573 | Subcomisión resuelve no procede factura (descripción que aplica al convenio 2010T) | CS | EA/CH
574 | Subcomisión no procede parte tras recurso | CS | EA/CH
574 | No procede reducción de tarifas (2010U) | CS | EA/CH
575 | Comisión resuelve no procede parte | CS | EA/CH
576 | Comisión resuelve no procede factura | CS | EA/CH
577 | Subcomisión no procede factura tras recurso | CS | EA/CH
578 | Subcomisión resuelve no procede pago total | CS | EA/CH
579 | Comisión resuelve No procede total | CS | EA/CH
580 | Envía factura rectificativa de anulación | CH | EA
581 | Confirma factura abonada totalmente | CH | EA
582 | Confirma factura abonada parcialmente | CH | EA
583 | Factura sin abono por Convenio | CS/CH | EA
584 | Cierre factura. No procede. | CS | EA/CH
585 | Envía factura rectificativa de importes | CH | EA
